archivo,fecha,direccion_grados,velocidad_kmxh
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/04-03-2023.png,04/03/2023,225,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/05-03-2023.png,05/03/2023,175,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/06-03-2023.png,06/03/2023,215,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/07-03-2023.png,07/03/2023,200,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/08-03-2023.png,08/03/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/09-03-2023.png,09/03/2023,230,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/10-03-2023.png,10/03/2023,195,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/11-03-2023.png,11/03/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/12-03-2023.png,12/03/2023,225,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/13-03-2023.png,13/03/2023,210,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/14-03-2023.png,14/03/2023,235,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/15-03-2023.png,15/03/2023,115,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/16-03-2023.png,16/03/2023,230,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/17-03-2023.png,17/03/2023,230,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/18-03-2023.png,18/03/2023,215,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/19-03-2023.png,19/03/2023,115,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/20-03-2023.png,20/03/2023,105,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/21-03-2023.png,21/03/2023,215,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/22-03-2023.png,22/03/2023,165,4
