archivo,fecha,direccion_grados,velocidad_kmxh
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/16-09-2023.png,16/09/2023,80,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/17-09-2023.png,17/09/2023,75,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/18-09-2023.png,18/09/2023,75,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/19-09-2023.png,19/09/2023,190,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/20-09-2023.png,20/09/2023,230,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/21-09-2023.png,21/09/2023,55,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/22-09-2023.png,22/09/2023,75,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/23-09-2023.png,23/09/2023,40,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/24-09-2023.png,24/09/2023,285,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/25-09-2023.png,25/09/2023,50,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/26-09-2023.png,26/09/2023,45,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/27-09-2023.png,27/09/2023,55,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/28-09-2023.png,28/09/2023,15,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/29-09-2023.png,29/09/2023,125,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/30-09-2023.png,30/09/2023,95,3
